playerId,Name,Team,League
294744,Luiz Felipe,Lazio,SerieA
54968,Francesco Acerbi,Lazio,SerieA
30635,Martín Cáceres,Lazio,SerieA
275698,Adam Marusic,Lazio,SerieA
26168,Senad Lulic,Lazio,SerieA
31451,Lucas Leiva,Lazio,SerieA
26587,Marco Parolo,Lazio,SerieA
288767,Sergej Milinkovic-Savic,Lazio,SerieA
85077,Luis Alberto,Lazio,SerieA
70141,Ciro Immobile,Lazio,SerieA
125378,Joaquín Correa,Lazio,SerieA
42435,Milan Badelj,Lazio,SerieA
22466,Felipe Caicedo,Lazio,SerieA
132688,Bastos,Lazio,SerieA
18286,Silvio Proto,Lazio,SerieA
132669,Wallace,Lazio,SerieA
283282,Riza Durmisi,Lazio,SerieA
118147,Danilo Cataldi,Lazio,SerieA
121532,Guido Guerrieri,Lazio,SerieA
244489,Alessandro Murgia,Lazio,SerieA
140261,Patric,Lazio,SerieA
72982,Valon Berisha,Lazio,SerieA
77397,Lukasz Skorupski,Bologna,SerieA
118142,Ibrahima Mbaye,Bologna,SerieA
18727,Danilo,Bologna,SerieA
284115,Lyanco,Bologna,SerieA
115574,Mitchell Dijks,Bologna,SerieA
117055,Erick Pulgar,Bologna,SerieA
14831,Blerim Dzemaili,Bologna,SerieA
286828,Riccardo Orsolini,Bologna,SerieA
78906,Roberto Soriano,Bologna,SerieA
83651,Nicola Sansone,Bologna,SerieA
14871,Rodrigo Palacio,Bologna,SerieA
62575,Giancarlo González,Bologna,SerieA
243919,Arturo Calabresi,Bologna,SerieA
31355,Andrea Poli,Bologna,SerieA
136728,Nehuén Paz,Bologna,SerieA
90906,Ângelo da Costa,Bologna,SerieA
335650,Juan Manuel Valencia,Bologna,SerieA
84005,Ladislav Krejci,Bologna,SerieA
141813,Godfred Donsah,Bologna,SerieA
295362,Ádám Nagy,Bologna,SerieA
79674,Diego Falcinelli,Bologna,SerieA
40099,Federico Santander,Bologna,SerieA
282348,Mattias Svanberg,Bologna,SerieA
302893,Fabio Depaoli,Chievo,SerieA
78892,Marco Andreolli,Chievo,SerieA
338073,Mehdi Léris,Chievo,SerieA
363554,Sergej Grubac,Chievo,SerieA
42860,Nenad Tomovic,Chievo,SerieA
372717,Angelo Ndrecka,Chievo,SerieA
131337,Samir,Udinese,SerieA
12462,Valon Behrami,Udinese,SerieA
298515,Giuseppe Pezzella,Udinese,SerieA
107567,Darwin Machís,Udinese,SerieA
317654,Felipe Vizeu,Udinese,SerieA
281409,Simone Pontisso,Udinese,SerieA
123923,Simone Scuffet,Udinese,SerieA
335093,Mamadou Coulibaly,Udinese,SerieA
9972,Samir Handanovic,Inter,SerieA
64271,Danilo D'Ambrosio,Inter,SerieA
82399,Stefan de Vrij,Inter,SerieA
302918,Milan Skriniar,Inter,SerieA
35549,Kwadwo Asamoah,Inter,SerieA
87449,Marcelo Brozovic,Inter,SerieA
135625,Matías Vecino,Inter,SerieA
122683,Matteo Politano,Inter,SerieA
52380,Radja Nainggolan,Inter,SerieA
70524,Ivan Perisic,Inter,SerieA
106964,Mauro Icardi,Inter,SerieA
299344,Lautaro Martínez,Inter,SerieA
322748,Dalbert,Inter,SerieA
136294,Keita,Inter,SerieA
22504,Miranda,Inter,SerieA
27421,Andrea Ranocchia,Inter,SerieA
